id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1315594297052291072,1315593017470799873,2020-10-12 13:04:57 EAT,2020-10-12,13:04:57,+0300,1574701800,itzrevel,eureka is stuDYING,,@paaatchhhh meron pang quarantine pass jusq anuna hahahhahaha,tl,['paaatchhhh'],[],[],0,0,0,[],[],https://twitter.com/itzrevel/status/1315594297052291072,,,0,,,,,,,,"{'user_id': '570494525', 'username': 'paaatchhhh'}",,,,
1315594292342251520,1315594292342251520,2020-10-12 13:04:56 EAT,2020-10-12,13:04:56,+0300,1256317465375711238,mira_alqasser,Mira (loves davids vlogs.. and him :)),,"I tweeted out something during the beginning of quarantine, it said “i have a feeling @DavidDobrik isn’t gonna come back to YouTube” and I’m scared it’s acc happening😭😭",en,['daviddobrik'],[],[],0,0,0,[],[],https://twitter.com/mira_alqasser/status/1315594292342251520,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1315594261124059137,1315594261124059137,2020-10-12 13:04:49 EAT,2020-10-12,13:04:49,+0300,1258635613185560577,todaybangalore,Bangalore News Today,,"Arjun Bijlani makes COVID-19 positive wife Neha Swami’s quarantine birthday super special. See pics, videos https://t.co/vi1Eff3EPz",en,[],['https://bangalorenewstoday.com/entertainment/arjun-bijlani-makes-covid-19-positive-wife-neha-swamis-quarantine-birthday-super-special-see-pics-videos/'],[],0,0,0,[],[],https://twitter.com/TodayBangalore/status/1315594261124059137,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1315594237946208256,1315594237946208256,2020-10-12 13:04:43 EAT,2020-10-12,13:04:43,+0300,306898533,afrinalatif,nadine,,"haritu dia cakap siapa yang balik dari sabah tak payah quarantine, harini dia umum pkpb. kau memang babi",in,[],[],[],0,0,0,[],[],https://twitter.com/afrinalatif/status/1315594237946208256,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1315594234158874624,1315535265193242625,2020-10-12 13:04:42 EAT,2020-10-12,13:04:42,+0300,2243621838,gowrigopala,Gowri Gopalakrishna,,@faassen @C19RedTeam Yes. Hence the plea from @C19RedTeam However residents and citizens may quarantine at their home residence after negative test result upon entry is what I believe to be the current policy in SG. Point is you know what to do and expect over there,en,"['faassen', 'c19redteam', 'c19redteam']",[],[],0,0,0,[],[],https://twitter.com/gowrigopala/status/1315594234158874624,,,0,,,,,,,,"{'user_id': '17978963', 'username': 'faassen'}",,,,
1315594221995266053,1315594221995266053,2020-10-12 13:04:39 EAT,2020-10-12,13:04:39,+0300,1516069381,mhdskry,苏克力,,Disebabkan golongan bijaksana yang tak pandai nak duk Rumah quarantine tak sedar diri balik dari kawasan redzone and finally..taniah kepada golongan bijaksana ini sebab usaha anda berjaya...teruskan la lagi sampai kene pkp balik pulak😑,in,[],[],[],0,0,0,[],[],https://twitter.com/mhdskry/status/1315594221995266053,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1315594204685299713,1315594204685299713,2020-10-12 13:04:35 EAT,2020-10-12,13:04:35,+0300,1069145395865911296,sri2tweet1,sri2tweet,,28 days quarantine pettaaala annintikee,en,[],[],[],0,0,0,[],[],https://twitter.com/sri2tweet1/status/1315594204685299713,,https://twitter.com/Reuters/status/1315586758353063936,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1315594178399817728,1315594178399817728,2020-10-12 13:04:29 EAT,2020-10-12,13:04:29,+0300,1248927070329208832,quarantinedadd1,QuarantineDaddy,,Niche rant: men getting horny on main in Facebook groups. Just open a side account and vent your horniness there.  Leave it out of whatever random Facebook group you're inflicting it on.,en,[],[],[],0,0,0,[],[],https://twitter.com/QuarantineDadd1/status/1315594178399817728,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1315594143742205953,1315594143742205953,2020-10-12 13:04:21 EAT,2020-10-12,13:04:21,+0300,1108749242938597379,cowboiklaus,boo bitch its blink ☮︎✰☂︎,,start of quarantine vs now (I know the first picture is bad but I have barely any pictures of myself and that's the only picture from around the start of quarantine sorry) https://t.co/I2P5cAKg9n,en,[],[],"['https://pbs.twimg.com/media/EkHt5cSXcAAlb2N.jpg', 'https://pbs.twimg.com/media/EkHt5sMXYAE--Jg.jpg']",0,0,0,[],[],https://twitter.com/cowboiklaus/status/1315594143742205953,,https://twitter.com/evaman69/status/1315500960144412672,1,https://pbs.twimg.com/media/EkHt5cSXcAAlb2N.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,
1315594137123471360,1315594137123471360,2020-10-12 13:04:19 EAT,2020-10-12,13:04:19,+0300,701024276426526720,alialaire,lil,,"gov: pkpb starts again
my dark quarantine thoughts:
 https://t.co/d5t7YfkHy9",en,[],[],[],0,0,0,[],[],https://twitter.com/alialaire/status/1315594137123471360,,,1,https://pbs.twimg.com/ext_tw_video_thumb/1139316468129120256/pu/img/yIRACYI0fZr-X-Xe.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,
1315594132987932672,1315594132987932672,2020-10-12 13:04:18 EAT,2020-10-12,13:04:18,+0300,3305693154,sushii_guyy,Miguel,,"Kasalanan ba nila na mahirap sila? Tutal ""batas ay batas"" rin naman pinaguusapan bakit hindi parin inaaresto ang mga lumabag sa Quarantine Protocols?",tl,[],[],[],0,0,0,[],[],https://twitter.com/Sushii_Guyy/status/1315594132987932672,,https://twitter.com/abscbnnews/status/1315243244880527362,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1315594123114622976,1315592513986715649,2020-10-12 13:04:16 EAT,2020-10-12,13:04:16,+0300,760150304755159041,orbitoph,maria || in search of moots🎃,,@lvcseongmin but let's not talk about how i watched yuri on ice 3 times in quarantine just to feel something 😀,en,['lvcseongmin'],[],[],0,0,0,[],[],https://twitter.com/orbitoph/status/1315594123114622976,,,0,,,,,,,,"{'user_id': '1094599751864070145', 'username': 'lvcseongmin'}",,,,
1315594100721082369,1315594082677219329,2020-10-12 13:04:10 EAT,2020-10-12,13:04:10,+0300,1300998000316092417,salehhuddinasir,ushdnsr,,"Isteri ana juga membuat swabtest kerana baru balik  Langkawi minggu lepas, tetapi doktor beritahu Langkawi zon hijau.pun begitu atas nasihat doktor isteri ana quarantine di rumah selama 14hari.

Keputusan Covid19 akan diketahui dalam masa 3-5 hari .Mudah²an ianya Negatif. https://t.co/V8FDDOTv3G",in,[],[],['https://pbs.twimg.com/media/EkHt3GWVgAYS9g_.jpg'],1,0,0,[],[],https://twitter.com/salehhuddinasir/status/1315594100721082369,,,1,https://pbs.twimg.com/media/EkHt3GWVgAYS9g_.jpg,,,,,,,"{'user_id': '1300998000316092417', 'username': 'salehhuddinasir'}",,,,
1315594099471376386,1315594099471376386,2020-10-12 13:04:10 EAT,2020-10-12,13:04:10,+0300,139514169,sandorizu,sandra ・ quarantine edition,,can't believe there's two fandoms making me emotional over wontons now gdi,en,[],[],[],0,0,0,[],[],https://twitter.com/sandorizu/status/1315594099471376386,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1315594087240626176,1315583969618882562,2020-10-12 13:04:07 EAT,2020-10-12,13:04:07,+0300,331560702,matmalay,Malay Guy Self Quarantine,,@JaniFitclub Buka la..🤦‍♂️,tl,['janifitclub'],[],[],0,0,0,[],[],https://twitter.com/MatMalay/status/1315594087240626176,,,0,,,,,,,,"{'user_id': '133112622', 'username': 'JaniFitclub'}",,,,
1315594072581500928,1315522129606000640,2020-10-12 13:04:04 EAT,2020-10-12,13:04:04,+0300,2841269504,casstryan,Dv,,"@ToomeyWright Who fucking cares! It was a mistake! Its easy to be a genius in hindsight. If we listened to Scotty there would be no quarantine, lockdown , thousands dead",en,['toomeywright'],[],[],0,0,0,[],[],https://twitter.com/casstryan/status/1315594072581500928,,,0,,,,,,,,"{'user_id': '1509484514', 'username': 'ToomeyWright'}",,,,
1315594064985763840,1315594064985763840,2020-10-12 13:04:02 EAT,2020-10-12,13:04:02,+0300,758673813143977984,rebeccafromeu,Linux Mint 17.1 from EU,,She is homeschooled and all her songs were recorded and produced by her brother in his bedroom. Also she's a multimillionaire. Literally nothing has changed for her during quarantine. She does this all the time. What's your fucking point?,en,[],[],[],0,0,0,[],[],https://twitter.com/RebeccafromEU/status/1315594064985763840,,https://twitter.com/Complex/status/1259541547772776448,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
